qid,duration,status
q01,6874,0
q02,992,0
q03,14628,0
q04,6367,0
q05,17649,0
q06,564,0
q07,7191,0
q08,180340,159
q09,180390,159
q10,19261,0
q11,1416,0
q12,3082,0
q13,93133,0
q14,3424,0
q15,1350,0
q16,2633,0
q17,4552,0
q18,25722,0
q19,12990,0
q20,1281,0
q21,180435,159
q22,7620,0
